link,published,sortkey,summary,title
,2020/01/23,20200123,【もちもち食感】「ぷっちょ」でもタピる!? 『ぷっちょスティック 黒糖タピオカミルクティー』！。タピオカドリンク好きに朗報！ この度、黒糖タピオカミルクティーの深い味わいやもちもち食感をソフトキャンディで楽しめる『ぷっちょスティック 黒糖タピオカミルクティー』が ...,【もちもち食感】「ぷっちょ」でもタピる!? 『ぷっちょスティック 黒糖タピオカミルクティー』！
,2019/12/18,20191218,【郭元益 日本橋店】タピオカミルクティーケーキ日本上陸。合同会社輝月商事のプレスリリース（2019年12月18日 10時08分） 郭元益 日本橋店 タピオカミルクティーケーキ日本上陸.,【郭元益 日本橋店】タピオカミルクティーケーキ日本上陸
,2019/12/07,20191207,和田アキ子、流行語に選ばれた「タピる」に「タピオカ飲んだことない」。歌手・和田アキ子が７日、パーソナリティーを務めるニッポン放送「ゴッドアフタヌーンアッコのいいかげんに１０００回」（土曜・前１１時）に生出演。今月２日に発表された「２０１９ ...,和田アキ子、流行語に選ばれた「タピる」に「タピオカ飲んだことない」
,2020/01/14,20200114,「次のタピオカ」を原宿女性100人が選出！2位チーズティー、1位は？。流行の発信地、東京・原宿。パンケーキやパフェなど、この地で成功を収めたスイーツは日本を席巻する。2019年の“スイーツの王”であるタピオカの次にブレークする商品は ...,「次のタピオカ」を原宿女性100人が選出！2位チーズティー、1位は？
,0000/00/00,00000000,「タピる」の次は「ピスる」？2019年ピスタチオトレンド4選。2018年から台湾ティーをはじめとしたタピオカスイーツが話題となり、タピオカを飲む時や飲みたい時に使用され、JC・JK流行語にもなった「タピる」。 それを追いかけるように、 ...,「タピる」の次は「ピスる」？2019年ピスタチオトレンド4選
,2019/07/08,20190708,「あたおか」「タピる（タピ活）」「えぐいてぇ」…令和最初に若者に人気だった言葉とは？インスタ流行調査結果が発表に。株式会社パスチャーが運営する流行発見メディアPetrel（ペトレル）は2019年上半期にInstagram（インスタグラム）で話題になったハッシュタグを中心とした流行語を発表しま ...,「あたおか」「タピる（タピ活）」「えぐいてぇ」…令和最初に若者に人気だった言葉とは？インスタ流行調査結果が発表に
,2020/01/17,20200117,タピオカバブルで「無洗米」がピンチに陥る意外な理由。タピオカミルクティーのブームは、タピオカ専門店以外にも恩恵をもたらした。ところが、タピオカの高騰は意外にも日本の主食のコメに影響を与えていた――。特集「外食の ...,タピオカバブルで「無洗米」がピンチに陥る意外な理由
,2019/09/05,20190905,コンビニで買える「食べるタピオカ」を比べてみた 5選 (2019年9月5日)。昨今、タピオカブームは右肩上がり。ついには「タピる」なんて動詞まで出来てしまったほどですが、時代は「飲むタピオカ」から「食べるタピオカ」にまで進化しているようです。,コンビニで買える「食べるタピオカ」を比べてみた 5選 (2019年9月5日)
,2019/12/02,20191202,流行語大賞に「ワンチーム」。今年話題になった言葉に贈られる「現代用語の基礎知識選 ２０１９ユーキャン新語・流行語大賞」が２日発表され、年間大賞にラグビー・ワールドカップ（Ｗ杯）日本.,流行語大賞に「ワンチーム」
,2019/12/18,20191218,イエスとブッダが雷門の前でタピる「聖☆おにいさん」3期ビジュ、Netflixでも配信。中村光原作による実写ドラマ「聖☆おにいさん 第III紀」のビジュアルが公開された。,イエスとブッダが雷門の前でタピる「聖☆おにいさん」3期ビジュ、Netflixでも配信
,2019/12/10,20191210,「タピったｗｗｗ」「こんなんずるいだろｗ」藤井猛九段（49）、またも対局中にタピる。皆さん、大ニュースです!!! 12月10日、藤井猛九段が対局中の飲み物として、「タピオカ」を注文しました！ niconico / Via live2.nicovideo.jp. Facebookでシェアする ...,「タピったｗｗｗ」「こんなんずるいだろｗ」藤井猛九段（49）、またも対局中にタピる
,2020/02/03,20200203,【杉並区】『タピる』から『タホる』へ…メディアから大注目のTAHO！『303mAtcHaLaB』の記事まとめました。追記あり＊3/5放送のダウンタウンDX放映記念で今週末土日(7日、8日)は全品半額キャンペーンを実施するそうです！ ダウンタウンDX放映記念として、今週末の土日は全品 ...,【杉並区】『タピる』から『タホる』へ…メディアから大注目のTAHO！『303mAtcHaLaB』の記事まとめました
,2019/12/03,20191203,２０１９年流行語大賞、トップテンに若者ブーム「タピる」や高齢者の「免許返納」など。今年話題になった言葉に贈られる「現代用語の基礎知識選２０１９ユーキャン新語・流行語大賞」が２日発表され、ラグビーＷ杯日本代表のスローガン「ＯＮＥＴＥＡＭ（ワンチ…,２０１９年流行語大賞、トップテンに若者ブーム「タピる」や高齢者の「免許返納」など
,2019/11/20,20191120,阿部寛の“タピる”姿に大反響！「可愛い…笑!!」＜まだ結婚できない男。【ザテレビジョン芸能ニュース！】阿部寛主演のドラマ「まだ結婚できない男」(毎週火曜夜9:00-9:54放送、フジテレビ系※サッカー中継で今回は繰り下げ放送)の第7話が11 ...,阿部寛の“タピる”姿に大反響！「可愛い…笑!!」＜まだ結婚できない男
,2019/08/16,20190816,タピオカファンから悲鳴？ カロリーは「ビール中ジョッキ３杯分」。「タピる」「タピ活」なる新語が日常会話で飛び交うほどブームが続くあの飲料。ネットでは＜週４回飲んだら６キロ太った＞＜ラーメンよりカロリー高い＞といううわさも。,タピオカファンから悲鳴？ カロリーは「ビール中ジョッキ３杯分」
,2019/08/14,20190814,お菓子でもタピる？『タピオカミルクティグミ』ついにブームはここまできた！ (2019年8月14日)。空前のタピオカブームはついにお菓子にまで波及。タピオカ好きならこれも押さえておきたい？『タピオカミルクティグミ』の登場だ。そう、プニプニのグミにプニプニのタピオカ。,お菓子でもタピる？『タピオカミルクティグミ』ついにブームはここまできた！ (2019年8月14日)
,2020/03/29,20200329,タピるＪＫ，飲み明かす大学生…若者の中には“自粛を自粛”。スポーツニュース、芸能ニュースはお任せ！スポーツニッポン新聞社の公式サイトです。,タピるＪＫ，飲み明かす大学生…若者の中には“自粛を自粛”
,2019/11/12,20191112,「タピる」「令和」など流行語大賞 ノミネート30語を発表。6日、今年の世相を反映した言葉に贈られる「2019年ユーキャン新語・流行語大賞」にノミネートされた30語が発表された。この賞は、今年1年で最も流行したハッシュタグや、 ...,「タピる」「令和」など流行語大賞 ノミネート30語を発表
,2019/09/03,20190903,遂に出ました！「100円タピオカ」 ローソンストア100が「タピオカミルクティー（税込108円）」を2019年9月4日（水）販売開始。ローソンストア100限定販売 「タピオカミルクティー」 180ml 本体価格100円（税込108円） ※容器には専用ストローがついています □商品開発者に聞きました。 なぜ今発売 ...,遂に出ました！「100円タピオカ」 ローソンストア100が「タピオカミルクティー（税込108円）」を2019年9月4日（水）販売開始
,2019/11/08,20191108,タピオカとかき氷が合体した生き物のような「タピるん」。神戸・須磨の月見山駅近くにあるカフェ「パパパピッピーズ」（神戸市須磨区行幸町3、TEL 080-4560-5963）が11月18日、オープン1周年を迎える。,タピオカとかき氷が合体した生き物のような「タピるん」
,2019/12/09,20191209,ああ「タピオカ」！新語・流行語大賞トップテン、「今年の一皿」にも選ばれた「タピオカ」が、この世界からなくなったら・・・PR動画「世界からタピオカが消えた日」、公開１ヶ月で動画再生回数５０万回に迫る！。20xx年、タピオカロスで絶望の淵を彷徨う. タピオカ中毒者たち… 彼らが最後にたどりついたフロンティアとは？ How to enjoy Movie ① 【悲報】世界最後のタピオカ誤って犬 ...,ああ「タピオカ」！新語・流行語大賞トップテン、「今年の一皿」にも選ばれた「タピオカ」が、この世界からなくなったら・・・PR動画「世界からタピオカが消えた日」、公開１ヶ月で動画再生回数５０万回に迫る！
,2019/06/17,20190617,意味がわかる...！ 流行りのタピオカを漢字で表すセンスがすごい。巷で話題の「タピオカ」を、その創造性あふれるセンスで一つの漢字に落とし込んだツイートが話題になっています。 創作主はフリーの書家でクリエイターのもにゃゐずみ ...,意味がわかる...！ 流行りのタピオカを漢字で表すセンスがすごい
,2019/12/03,20191203,「ぴえん」「べびたっぴ」「3150」…今年のJK流行語、いくつわかる？。現役女子中高生が選んだ「JC・JK流行語大賞」の2019年度版が発表されました 「全然知らない…これどういう意味!?」となってる大人のみなさんに向けて「コトバ部門」の ...,「ぴえん」「べびたっぴ」「3150」…今年のJK流行語、いくつわかる？
,2019/11/03,20191103,次にヒットするのはどれ？「NEXTタピオカ」をめぐる甘くない覇権争い。台湾をはじめ、タイや韓国といった海外のタピオカ専門店が続々と日本に進出し、ここ3年で人気が加速したタピオカドリンク。流行に敏感な女子中高生が選ぶ2018年 ...,次にヒットするのはどれ？「NEXTタピオカ」をめぐる甘くない覇権争い
,2019/12/20,20191220,タピオカの唐揚げ、その味は… 台湾の人気店が大阪集結。タピオカの載った麻婆豆腐丼や担々麺、タピオカの唐揚げ……。タピオカの本場・台湾の人気店約２０店舗が集まったグルメイベント「ｆｒｏｍ台湾 タピオカＬＯＶＥ」が、大阪市 ...,タピオカの唐揚げ、その味は… 台湾の人気店が大阪集結
,2019/09/04,20190904,1位は「タピる」！ JK・DKがガチで選ぶ2019夏の流行トップ100発表。日本の流行を生み出す”と言われる全国のJK(女子高校生)、DK(男子高校生)へのインタビューやSNS投票により、リアルな流行をランキング形式で発表する特別番組「 ...,1位は「タピる」！ JK・DKがガチで選ぶ2019夏の流行トップ100発表
,2019/12/09,20191209,毎年発表される「流行語大賞」にやたらと違和感を感じる理由。毎年、流行語大賞を生温い温度感で見つめていた筆者。今回、原稿を書くにあたり、調べてみたところ思うところが多々あった。（取材・文／フリーライター 武藤弘樹）.,毎年発表される「流行語大賞」にやたらと違和感を感じる理由
,2020/03/24,20200324,教科書にタピオカ、厚底シューズ…流行や時事も題材に - 毎日新聞。教科書も「タピる」時代に――。今回検定に合格した教科書には、若い世代を中心に一大ブームを巻き起こしたタピオカやマラソンの厚底シューズ、新元号の令和など、最近 ...,教科書にタピオカ、厚底シューズ…流行や時事も題材に - 毎日新聞
,2019/12/14,20191214,今年の流行語大賞にノミネートされた30の言葉のうち、最も検索されていたのは？。今月2日に発表された「2019 ユーキャン新語・流行語大賞」。年間大賞には、ラグビーW杯で躍動した日本代表のスローガン「ONE TEAM」が選ばれた。トップテンには「タピ ...,今年の流行語大賞にノミネートされた30の言葉のうち、最も検索されていたのは？
,2019/07/12,20190712,監獄レストラン ザ・ロックアップ、ついに【#タピる】 オリジナルビーカーカクテル×２種類のタピオカで新感覚のカスタム【タピ活】 7月15日(月)よりタピオカ入れ放題スタート！。株式会社パートナーズダイニングのプレスリリース（2019年7月12日 15時10分）監獄レストラン ザ・ロックアップ、ついに #タピる オリジナルビーカーカクテル×２種類の ...,監獄レストラン ザ・ロックアップ、ついに【#タピる】 オリジナルビーカーカクテル×２種類のタピオカで新感覚のカスタム【タピ活】 7月15日(月)よりタピオカ入れ放題スタート！
,2019/08/18,20190818,タピる日には！『ゴンチャ・タピオカミルクティーコーデ』で、暑い夏もかわいく♡。色んな芸能・エンターテインメント・ニュース満載♪『めるも』| SNSで大人気のイラストレーター「meeco（みーこ）」さんが気になる作品やアイドル、シチュエーションのイメージ ...,タピる日には！『ゴンチャ・タピオカミルクティーコーデ』で、暑い夏もかわいく♡
,2019/11/02,20191102,タピオカ「2億杯分」売れた ブームを超えて国民食に。日経トレンディと日経クロストレンドが発表した「2019年ヒット商品ベスト30」2位に「タピオカ」が選ばれた。ドリンクにもデザートにもなる「黒い粒」に長蛇の列ができ、輸入量 ...,タピオカ「2億杯分」売れた ブームを超えて国民食に
,2019/12/06,20191206,海外も認めた「ONE TEAM」！「流行語大賞」を英語でバズってみよう（井津川倫子）。あの興奮を再び！ラグビーワールドカップ（W杯）でベスト8に進出した日本代表のチームスローガン「ONETEAM（ワンチーム）」が、「2019ユーキャン新語・流行語大賞」の ...,海外も認めた「ONE TEAM」！「流行語大賞」を英語でバズってみよう（井津川倫子）
,2020/01/29,20200129,今ハワイでタピるならココ！リピートしたくなる味「ユニコーンカフェ/Unicorn Café」をご紹介！。ハワイでもタピオカドリンクが大流行！ 数あるタピオカドリンク店のなかでも、オアフ島でアクセス抜群なお店が「ユニコーンカフェ」。 ワイキキの中心部にあり、ハワイ初心者 ...,今ハワイでタピるならココ！リピートしたくなる味「ユニコーンカフェ/Unicorn Café」をご紹介！
,2019/08/27,20190827,阿久津仁愛：テニミュで注目の2.5次元イケメンが「タピるデート」 黒羽麻璃央、高野洸も。ミュージカル「テニスの王子様」3rdシーズンで越前リョーマ役を演じ、2.5次元俳優として注目を浴びる阿久津仁愛さんが、8月22日発売の女性誌「JUNON（ジュノン）」（主婦と ...,阿久津仁愛：テニミュで注目の2.5次元イケメンが「タピるデート」 黒羽麻璃央、高野洸も
,2019/12/02,20191202,「この賞をきっかけにタピオカを多くの人に知ってもらえれば」流行語大賞トップ１０に「タピる」。「２０１９年ユーキャン新語・流行語大賞」が２日発表され、ラグビーＷ杯で史上初の８強入りを果たした日本代表のチームのスローガン「ＯＮＥ ＴＥＡＭ」が年間大賞に選ばれた。,「この賞をきっかけにタピオカを多くの人に知ってもらえれば」流行語大賞トップ１０に「タピる」
,2019/09/11,20190911,"AAA宇野実彩子“タピる”姿公開でファン悶絶「超絶可愛い」「JKよりJK」｜E-TALENTBANK co.,ltd.。9月9日、AAA宇野実彩子がInstagramを更新した。 宇野は自身のTwitterにて「今日は大阪でのお仕事の合間に #タピオカドリンク 頂きました」と切り出すと、やっぱり ...","AAA宇野実彩子“タピる”姿公開でファン悶絶「超絶可愛い」「JKよりJK」｜E-TALENTBANK co.,ltd."
,2019/11/15,20191115,【プチ流行中】タピオカを鍋に入れる「タピオカ鍋」を作ってみた！ スープには「午後の紅茶」を使ってみたぞ～!!。今年2019年の流行語に「タピる」という言葉がノミネートされるほど、日本全国で大流行し続けるタピオカ。存在についてはもう皆が知っていることだろう。 最近のタピオカ …,【プチ流行中】タピオカを鍋に入れる「タピオカ鍋」を作ってみた！ スープには「午後の紅茶」を使ってみたぞ～!!
,2019/12/02,20191202,高円寺「303 mAtcHa LaB（マッチャラボ）」に新メニュー【ホットタピオカミルクティー】登場。フードロイド株式会社のプレスリリース（2019年12月2日 11時10分）高円寺[303 mAtcHa LaB（マッチャラボ）]に新メニュー ホットタピオカミルクティー 登場.,高円寺「303 mAtcHa LaB（マッチャラボ）」に新メニュー【ホットタピオカミルクティー】登場
,2019/09/13,20190913,東京駅ナカでタピるならここ。旅行のお供にもぴったりなタピオカメニューが「フェアリーケーキフェア」に登場。東京駅グランスタ内にある「FairycakeFair（フェアリーケーキフェア）」は、菓子研究家いがらしろみさんがプロデュースするカップケーキとビスケットのお店。同店では9月12日（.,東京駅ナカでタピるならここ。旅行のお供にもぴったりなタピオカメニューが「フェアリーケーキフェア」に登場
,2019/12/04,20191204,民俗学の父、８５年前にタピってた？ 著書に記述。今年話題になった言葉に贈られる「現代用語の基礎知識選 ２０１９ユーキャン新語・流行語大賞」で、トップテン入りした「タピる」。昨今ブームのタピオカドリンク.,民俗学の父、８５年前にタピってた？ 著書に記述
,2020/01/09,20200109,タピオカの次に来るのは？ 2020年に流行る“映える”食べ物3つはコレ。インスタグラムとTwitterに投稿された情報をもとに、2019年に流行った食べ物の特徴を分析し、2020年の流行を予測している。,タピオカの次に来るのは？ 2020年に流行る“映える”食べ物3つはコレ
,2020/01/29,20200129,タピオカが遂に絵文字化？！117個の新たな絵文字たちが発表に。Emojipediaが、第13回目のアップデートとして、新たに追加される117個の絵文字を公開した。 Emojipedia. 23K subscribers. Subscribe · First Look: All 117 New ...,タピオカが遂に絵文字化？！117個の新たな絵文字たちが発表に
,2019/12/16,20191216,夢屋まさる、パンケーキ帽なしで授賞式出席 「タピる」に敗北宣言。ピン芸人の夢屋まさるが16日、2019年を彩った“話題の人”に贈られる『LINE NEWS Presents NEWS AWARDS2019』の「芸人部門」を受賞し、都内で行われた授賞式に ...,夢屋まさる、パンケーキ帽なしで授賞式出席 「タピる」に敗北宣言
,2019/11/30,20191130,「にわかファン」「タピる」「〇〇ペイ」…賀来賢人が予想する「流行語大賞」は？。俳優の賀来賢人がパーソナリティをつとめるTOKYO FMの番組「賀来賢人 SUZUKI “KENTO'S CLUB”」。11月25日（月）～11月28日（木）の放送では、クラブ会員（※本 ...,「にわかファン」「タピる」「〇〇ペイ」…賀来賢人が予想する「流行語大賞」は？
,2019/05/12,20190512,道枝駿佑と長尾謙杜の「タピる？」にファン歓喜 『俺のスカート、どこ行った？』第4話。俳優の古田新太がゲイで女装家の教師役で主演を務めるドラマ『俺のスカート、どこ行った？』（日本テレビ系／毎週土曜22時）の第4話が11日放送。終盤、無事仲直りが ...,道枝駿佑と長尾謙杜の「タピる？」にファン歓喜 『俺のスカート、どこ行った？』第4話
